date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:03:31	165568/165568	---M-Z	200	added ('OK')	text/html	etag:%22286c0-5f4cf50289935-gzip%22	https://themesbrand.com/invoika/layouts/index.html	D:/Invoice%20System/HTML/themesbrand.com/invoika/layouts/index.html	(from )
15:03:32	24/24	---M--	200	added ('OK')	text/plain	etag:%2218-5afe3c4199080%22	https://themesbrand.com/robots.txt		(from )
15:03:32	4286/4286	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%2210be-5f428f5336e4a%22	https://themesbrand.com/invoika/layouts/assets/images/favicon.ico	D:/Invoice%20System/HTML/themesbrand.com/invoika/layouts/assets/images/favicon.ico	(from https://themesbrand.com/invoika/layouts/index.html)
15:03:33	2144/2144	---M-Z	200	added ('OK')	text/css	etag:%22860-5f428f534e549-gzip%22	https://themesbrand.com/invoika/layouts/assets/libs/jsvectormap/css/jsvectormap.min.css	D:/Invoice%20System/HTML/themesbrand.com/invoika/layouts/assets/libs/jsvectormap/css/jsvectormap.min.css	(from https://themesbrand.com/invoika/layouts/index.html)
15:03:33	1174/1174	---M-Z	200	added ('OK')	application/javascript	etag:%22496-5f428f533eb49-gzip%22	https://themesbrand.com/invoika/layouts/assets/js/layout.js	D:/Invoice%20System/HTML/themesbrand.com/invoika/layouts/assets/js/layout.js	(from https://themesbrand.com/invoika/layouts/index.html)
15:03:33	241788/241788	---M-Z	200	added ('OK')	text/css	etag:%223b07c-5f4cf502702f5-gzip%22	https://themesbrand.com/invoika/layouts/assets/css/bootstrap.min.css	D:/Invoice%20System/HTML/themesbrand.com/invoika/layouts/assets/css/bootstrap.min.css	(from https://themesbrand.com/invoika/layouts/index.html)
15:03:33	228723/228723	---M-Z	200	added ('OK')	text/css	etag:%2237d73-5f4cf5026e3b5-gzip%22	https://themesbrand.com/invoika/layouts/assets/css/app.min.css	D:/Invoice%20System/HTML/themesbrand.com/invoika/layouts/assets/css/app.min.css	(from https://themesbrand.com/invoika/layouts/index.html)
15:03:34	640419/640419	---MCZ	200	added ('OK')	text/css	etag:%229c5a3-5f4cf502760b5-gzip%22	https://themesbrand.com/invoika/layouts/assets/css/icons.min.css	D:/Invoice%20System/HTML/themesbrand.com/invoika/layouts/assets/css/icons.min.css	(from https://themesbrand.com/invoika/layouts/index.html)
15:03:34	13068/13068	---M--	200	added ('OK')	image/png	etag:%22330c-5f428f533cc09%22	https://themesbrand.com/invoika/layouts/assets/images/logo-sm.png	D:/Invoice%20System/HTML/themesbrand.com/invoika/layouts/assets/images/logo-sm.png	(from https://themesbrand.com/invoika/layouts/index.html)
15:03:34	2445/2445	---M--	200	added ('OK')	image/png	etag:%2298d-5f428f533cc09%22	https://themesbrand.com/invoika/layouts/assets/images/logo-dark.png	D:/Invoice%20System/HTML/themesbrand.com/invoika/layouts/assets/images/logo-dark.png	(from https://themesbrand.com/invoika/layouts/index.html)
